start,end,length,group,split
04/11/2023,06/11/2023,3,H_OT,train
30/12/2023,08/01/2024,10,H_NY,train
23/02/2024,25/02/2024,3,H_OT,train
08/03/2024,10/03/2024,3,H_OT,train
28/04/2024,01/05/2024,4,H_OT,train
09/05/2024,12/05/2024,4,H_OT,train
29/12/2024,08/01/2025,11,H_NY,train
01/05/2025,04/05/2025,4,H_OT,train
08/05/2025,11/05/2025,4,H_OT,train
12/06/2025,15/06/2025,4,H_OT,train
02/11/2025,04/11/2025,3,H_OT,train
31/12/2025,11/01/2026,12,H_NY,test
21/02/2026,23/02/2026,3,H_OT,test
07/03/2026,09/03/2026,3,H_OT,test
01/05/2026,03/05/2026,3,H_OT,test
09/05/2026,11/05/2026,3,H_OT,test
12/06/2026,14/06/2026,3,H_OT,test
