Week from;Number of queries;Percentage of total queries, %;Frequency dynamics for «туры в Паттайю», by week, 26.12.2022 — 02.08.2026, Russia, all devices
26.12.2022;1 296;0,000057;
02.01.2023;1 902;0,000084;
09.01.2023;2 420;0,000091;
16.01.2023;2 458;0,000090;
23.01.2023;2 223;0,000081;
30.01.2023;2 049;0,000075;
06.02.2023;1 681;0,000062;
13.02.2023;1 531;0,000056;
20.02.2023;1 422;0,000056;
27.02.2023;1 585;0,000058;
06.03.2023;1 402;0,000054;
13.03.2023;1 483;0,000055;
20.03.2023;1 352;0,000052;
27.03.2023;1 290;0,000050;
03.04.2023;990;0,000038;
10.04.2023;991;0,000039;
17.04.2023;957;0,000037;
24.04.2023;824;0,000033;
01.05.2023;831;0,000035;
08.05.2023;844;0,000035;
15.05.2023;930;0,000038;
22.05.2023;998;0,000042;
29.05.2023;1 204;0,000052;
05.06.2023;1 129;0,000050;
12.06.2023;1 023;0,000046;
19.06.2023;895;0,000040;
26.06.2023;888;0,000040;
03.07.2023;962;0,000045;
10.07.2023;1 147;0,000053;
17.07.2023;1 124;0,000053;
24.07.2023;1 516;0,000070;
31.07.2023;1 113;0,000053;
07.08.2023;1 143;0,000053;
14.08.2023;1 187;0,000056;
21.08.2023;1 429;0,000068;
28.08.2023;1 239;0,000059;
04.09.2023;1 283;0,000056;
11.09.2023;1 318;0,000055;
18.09.2023;1 374;0,000057;
25.09.2023;1 700;0,000069;
02.10.2023;1 718;0,000069;
09.10.2023;1 822;0,000072;
16.10.2023;1 971;0,000076;
23.10.2023;1 848;0,000073;
30.10.2023;1 944;0,000081;
06.11.2023;2 065;0,000082;
13.11.2023;2 094;0,000080;
20.11.2023;1 837;0,000070;
27.11.2023;1 756;0,000066;
04.12.2023;1 590;0,000059;
11.12.2023;1 536;0,000058;
18.12.2023;1 298;0,000050;
25.12.2023;1 163;0,000052;
01.01.2024;1 884;0,000086;
08.01.2024;2 519;0,000099;
15.01.2024;2 618;0,000098;
22.01.2024;2 413;0,000090;
29.01.2024;2 248;0,000086;
05.02.2024;1 857;0,000073;
12.02.2024;1 930;0,000076;
19.02.2024;1 572;0,000065;
26.02.2024;1 532;0,000056;
04.03.2024;1 296;0,000051;
11.03.2024;1 342;0,000054;
18.03.2024;1 122;0,000046;
25.03.2024;1 054;0,000045;
01.04.2024;1 158;0,000048;
08.04.2024;1 047;0,000044;
15.04.2024;966;0,000040;
22.04.2024;936;0,000039;
29.04.2024;927;0,000043;
06.05.2024;901;0,000040;
13.05.2024;868;0,000037;
20.05.2024;922;0,000042;
27.05.2024;1 111;0,000052;
03.06.2024;1 156;0,000055;
10.06.2024;1 062;0,000052;
17.06.2024;1 116;0,000054;
24.06.2024;1 085;0,000055;
01.07.2024;1 252;0,000064;
08.07.2024;1 346;0,000070;
15.07.2024;1 324;0,000069;
22.07.2024;1 379;0,000070;
29.07.2024;1 356;0,000069;
05.08.2024;1 372;0,000069;
12.08.2024;1 333;0,000069;
19.08.2024;1 264;0,000065;
26.08.2024;1 330;0,000067;
02.09.2024;1 421;0,000071;
09.09.2024;1 438;0,000067;
16.09.2024;1 456;0,000065;
23.09.2024;1 517;0,000066;
30.09.2024;1 821;0,000078;
07.10.2024;1 845;0,000076;
14.10.2024;1 882;0,000083;
21.10.2024;1 826;0,000076;
28.10.2024;1 823;0,000078;
04.11.2024;1 980;0,000080;
11.11.2024;1 972;0,000077;
18.11.2024;1 597;0,000064;
25.11.2024;1 730;0,000064;
02.12.2024;1 552;0,000060;
09.12.2024;1 474;0,000057;
16.12.2024;1 643;0,000061;
23.12.2024;1 425;0,000057;
30.12.2024;1 419;0,000071;
06.01.2025;2 222;0,000096;
13.01.2025;2 154;0,000083;
20.01.2025;2 144;0,000080;
27.01.2025;1 969;0,000073;
03.02.2025;1 816;0,000067;
10.02.2025;1 826;0,000068;
17.02.2025;1 909;0,000073;
24.02.2025;1 657;0,000064;
03.03.2025;1 421;0,000056;
10.03.2025;1 519;0,000058;
17.03.2025;1 654;0,000064;
24.03.2025;1 436;0,000059;
31.03.2025;1 007;0,000040;
07.04.2025;959;0,000038;
14.04.2025;872;0,000036;
21.04.2025;993;0,000040;
28.04.2025;780;0,000034;
05.05.2025;783;0,000035;
12.05.2025;750;0,000031;
19.05.2025;873;0,000039;
26.05.2025;848;0,000039;
02.06.2025;938;0,000044;
09.06.2025;851;0,000038;
16.06.2025;1 003;0,000043;
23.06.2025;1 205;0,000052;
30.06.2025;1 226;0,000054;
07.07.2025;1 255;0,000057;
14.07.2025;1 268;0,000058;
21.07.2025;1 122;0,000051;
28.07.2025;1 036;0,000047;
04.08.2025;1 232;0,000056;
11.08.2025;1 218;0,000056;
18.08.2025;1 139;0,000052;
25.08.2025;1 202;0,000055;
01.09.2025;1 264;0,000055;
08.09.2025;1 472;0,000061;
15.09.2025;1 511;0,000062;
22.09.2025;1 452;0,000059;
29.09.2025;1 345;0,000055;
06.10.2025;1 516;0,000061;
13.10.2025;1 434;0,000055;
20.10.2025;1 588;0,000062;
27.10.2025;1 532;0,000062;
03.11.2025;1 413;0,000057;
10.11.2025;1 373;0,000053;
17.11.2025;1 401;0,000053;
24.11.2025;1 472;0,000055;
01.12.2025;1 345;0,000051;
08.12.2025;1 102;0,000042;
15.12.2025;948;0,000038;
22.12.2025;907;0,000040;
29.12.2025;869;0,000045;
05.01.2026;1 408;0,000070;
12.01.2026;1 755;0,000076;
19.01.2026;1 583;0,000066;
26.01.2026;1 515;0,000064;
02.02.2026;1 397;0,000059;
09.02.2026;1 185;0,000052;
16.02.2026;974;0,000044;
23.02.2026;1 050;0,000049;
02.03.2026;943;0,000045;
09.03.2026;927;0,000039;
16.03.2026;896;0,000036;
23.03.2026;846;0,000034;
30.03.2026;752;0,000031;
06.04.2026;791;0,000031;
13.04.2026;782;0,000031;
20.04.2026;667;0,000026;
27.04.2026;640;0,000027;
04.05.2026;610;0,000027;
11.05.2026;644;0,000028;
18.05.2026;1 002;0,000043;
25.05.2026;874;0,000038;
01.06.2026;877;0,000038;
08.06.2026;910;0,000040;
15.06.2026;742;0,000032;
22.06.2026;847;0,000036;
29.06.2026;788;0,000035;
06.07.2026;820;0,000035;
13.07.2026;967;0,000039;
20.07.2026;1 188;0,000047;
27.07.2026;1 142;0,000046;
