Week from;Number of queries;Percentage of total queries, %;Frequency dynamics for «туры в Таиланд», by week, 26.12.2022 — 02.08.2026, Russia, all devices
26.12.2022;3 028;0,000135;
02.01.2023;4 697;0,000207;
09.01.2023;5 615;0,000211;
16.01.2023;5 299;0,000194;
23.01.2023;5 022;0,000184;
30.01.2023;4 326;0,000160;
06.02.2023;3 763;0,000139;
13.02.2023;3 532;0,000131;
20.02.2023;3 314;0,000130;
27.02.2023;3 095;0,000114;
06.03.2023;3 115;0,000121;
13.03.2023;3 398;0,000126;
20.03.2023;3 181;0,000122;
27.03.2023;2 666;0,000104;
03.04.2023;2 572;0,000099;
10.04.2023;2 184;0,000086;
17.04.2023;2 094;0,000082;
24.04.2023;1 918;0,000077;
01.05.2023;1 993;0,000083;
08.05.2023;1 970;0,000083;
15.05.2023;2 285;0,000093;
22.05.2023;2 286;0,000097;
29.05.2023;3 252;0,000142;
05.06.2023;2 754;0,000122;
12.06.2023;2 188;0,000100;
19.06.2023;2 247;0,000100;
26.06.2023;2 360;0,000108;
03.07.2023;2 578;0,000122;
10.07.2023;2 734;0,000127;
17.07.2023;2 587;0,000122;
24.07.2023;4 096;0,000191;
31.07.2023;3 178;0,000152;
07.08.2023;3 217;0,000150;
14.08.2023;3 323;0,000158;
21.08.2023;4 354;0,000208;
28.08.2023;3 362;0,000161;
04.09.2023;3 160;0,000138;
11.09.2023;3 184;0,000135;
18.09.2023;3 251;0,000134;
25.09.2023;3 561;0,000145;
02.10.2023;3 949;0,000159;
09.10.2023;3 564;0,000141;
16.10.2023;4 389;0,000170;
23.10.2023;3 934;0,000156;
30.10.2023;4 169;0,000175;
06.11.2023;4 013;0,000160;
13.11.2023;4 389;0,000169;
20.11.2023;3 933;0,000150;
27.11.2023;3 802;0,000144;
04.12.2023;3 437;0,000128;
11.12.2023;3 097;0,000118;
18.12.2023;3 143;0,000122;
25.12.2023;2 655;0,000119;
01.01.2024;3 905;0,000179;
08.01.2024;5 330;0,000211;
15.01.2024;5 205;0,000196;
22.01.2024;4 858;0,000182;
29.01.2024;4 629;0,000179;
05.02.2024;4 626;0,000183;
12.02.2024;4 018;0,000159;
19.02.2024;3 304;0,000136;
26.02.2024;2 865;0,000106;
04.03.2024;2 470;0,000098;
11.03.2024;2 509;0,000102;
18.03.2024;2 261;0,000093;
25.03.2024;2 062;0,000089;
