Week from;Number of queries;Percentage of total queries, %;Frequency dynamics for «туры в Тайланд», by week, 26.12.2022 — 02.08.2026, Russia, all devices
26.12.2022;15 983;0,00071;
02.01.2023;25 207;0,00111;
09.01.2023;29 970;0,00112;
16.01.2023;26 280;0,00096;
23.01.2023;24 639;0,00090;
30.01.2023;21 982;0,00081;
06.02.2023;18 266;0,00067;
13.02.2023;16 876;0,00062;
20.02.2023;15 424;0,00060;
27.02.2023;16 273;0,00060;
06.03.2023;15 944;0,00062;
13.03.2023;16 485;0,00061;
20.03.2023;15 136;0,00058;
27.03.2023;13 631;0,00053;
03.04.2023;12 443;0,00048;
10.04.2023;10 861;0,00042;
17.04.2023;10 647;0,00042;
24.04.2023;9 173;0,00037;
01.05.2023;8 754;0,00036;
08.05.2023;8 968;0,00038;
15.05.2023;10 111;0,00041;
22.05.2023;10 436;0,00044;
29.05.2023;11 030;0,00048;
05.06.2023;10 501;0,00046;
12.06.2023;10 069;0,00046;
19.06.2023;10 049;0,00044;
26.06.2023;11 281;0,00051;
03.07.2023;11 916;0,00056;
10.07.2023;12 960;0,00060;
17.07.2023;12 738;0,00060;
24.07.2023;15 690;0,00073;
31.07.2023;14 103;0,00067;
07.08.2023;14 004;0,00065;
14.08.2023;13 118;0,00062;
21.08.2023;18 176;0,00087;
28.08.2023;15 323;0,00073;
04.09.2023;14 530;0,00063;
11.09.2023;14 475;0,00061;
18.09.2023;14 496;0,00060;
25.09.2023;15 564;0,00063;
02.10.2023;17 512;0,00070;
09.10.2023;17 400;0,00069;
16.10.2023;20 267;0,00078;
23.10.2023;18 870;0,00074;
30.10.2023;18 788;0,00079;
06.11.2023;19 577;0,00078;
13.11.2023;20 451;0,00079;
20.11.2023;19 522;0,00074;
27.11.2023;20 175;0,00076;
04.12.2023;16 690;0,00062;
11.12.2023;17 402;0,00066;
18.12.2023;16 175;0,00062;
25.12.2023;13 363;0,00059;
01.01.2024;21 486;0,00098;
08.01.2024;29 201;0,00115;
15.01.2024;28 994;0,00109;
22.01.2024;25 225;0,00094;
29.01.2024;22 810;0,00088;
05.02.2024;20 314;0,00080;
12.02.2024;18 525;0,00073;
19.02.2024;16 087;0,00066;
26.02.2024;15 581;0,00057;
04.03.2024;12 729;0,00050;
11.03.2024;13 097;0,00053;
18.03.2024;11 885;0,00048;
25.03.2024;10 301;0,00044;
01.04.2024;10 658;0,00044;
08.04.2024;9 862;0,00041;
15.04.2024;10 030;0,00041;
22.04.2024;10 007;0,00042;
