Week from;Number of queries;Percentage of total queries, %;Frequency dynamics for «туры на Пхукет», by week, 26.12.2022 — 02.08.2026, Russia, all devices
26.12.2022;2 122;0,000094;
02.01.2023;3 329;0,000147;
09.01.2023;3 850;0,000145;
16.01.2023;3 650;0,000134;
23.01.2023;3 266;0,000120;
30.01.2023;2 908;0,000107;
06.02.2023;2 501;0,000092;
13.02.2023;2 227;0,000082;
20.02.2023;1 924;0,000075;
27.02.2023;1 878;0,000069;
06.03.2023;1 987;0,000077;
13.03.2023;1 997;0,000074;
20.03.2023;1 756;0,000067;
27.03.2023;1 616;0,000063;
03.04.2023;1 353;0,000052;
10.04.2023;1 278;0,000050;
17.04.2023;1 191;0,000047;
24.04.2023;1 000;0,000040;
01.05.2023;1 017;0,000042;
08.05.2023;985;0,000041;
15.05.2023;1 079;0,000044;
22.05.2023;1 125;0,000047;
29.05.2023;1 352;0,000059;
05.06.2023;1 251;0,000055;
12.06.2023;1 143;0,000052;
19.06.2023;1 183;0,000052;
26.06.2023;1 246;0,000057;
03.07.2023;1 519;0,000072;
10.07.2023;1 773;0,000082;
17.07.2023;1 632;0,000077;
24.07.2023;2 129;0,000099;
31.07.2023;1 858;0,000089;
07.08.2023;1 992;0,000093;
14.08.2023;1 937;0,000092;
21.08.2023;2 445;0,000117;
28.08.2023;2 173;0,000104;
04.09.2023;2 360;0,000103;
11.09.2023;2 460;0,000104;
18.09.2023;2 345;0,000097;
25.09.2023;2 552;0,000104;
02.10.2023;2 949;0,000119;
09.10.2023;2 851;0,000113;
16.10.2023;3 047;0,000118;
23.10.2023;3 351;0,000132;
30.10.2023;3 250;0,000136;
06.11.2023;3 259;0,000130;
13.11.2023;3 589;0,000138;
20.11.2023;3 125;0,000119;
27.11.2023;3 223;0,000122;
04.12.2023;2 619;0,000098;
11.12.2023;2 748;0,000104;
18.12.2023;2 629;0,000102;
25.12.2023;1 976;0,000088;
01.01.2024;3 503;0,000161;
08.01.2024;4 882;0,000193;
15.01.2024;4 732;0,000178;
22.01.2024;4 178;0,000156;
29.01.2024;3 559;0,000137;
05.02.2024;3 101;0,000122;
12.02.2024;2 913;0,000115;
19.02.2024;2 594;0,000107;
26.02.2024;2 395;0,000089;
04.03.2024;1 885;0,000074;
11.03.2024;2 016;0,000082;
18.03.2024;1 828;0,000075;
25.03.2024;1 582;0,000068;
01.04.2024;1 662;0,000069;
08.04.2024;1 373;0,000057;
15.04.2024;1 411;0,000058;
22.04.2024;1 349;0,000056;
29.04.2024;1 222;0,000057;
06.05.2024;1 310;0,000058;
13.05.2024;1 333;0,000057;
20.05.2024;1 416;0,000064;
27.05.2024;1 474;0,000070;
03.06.2024;1 635;0,000078;
10.06.2024;1 769;0,000087;
17.06.2024;1 584;0,000077;
24.06.2024;1 620;0,000082;
01.07.2024;1 828;0,000093;
08.07.2024;1 859;0,000097;
15.07.2024;2 053;0,000107;
22.07.2024;2 204;0,000113;
29.07.2024;2 274;0,000115;
05.08.2024;2 098;0,000105;
12.08.2024;2 040;0,000106;
19.08.2024;1 992;0,000102;
26.08.2024;2 240;0,000114;
02.09.2024;2 168;0,000109;
09.09.2024;2 337;0,000109;
16.09.2024;2 309;0,000104;
23.09.2024;2 427;0,000107;
30.09.2024;2 614;0,000112;
07.10.2024;2 660;0,000110;
14.10.2024;2 579;0,000113;
21.10.2024;3 014;0,000125;
28.10.2024;3 162;0,000135;
04.11.2024;3 387;0,000136;
11.11.2024;3 591;0,000140;
18.11.2024;3 195;0,000129;
25.11.2024;2 978;0,000111;
02.12.2024;2 849;0,000111;
09.12.2024;2 699;0,000104;
16.12.2024;3 018;0,000113;
23.12.2024;2 390;0,000096;
30.12.2024;2 512;0,000126;
06.01.2025;3 888;0,000169;
13.01.2025;4 166;0,000161;
20.01.2025;3 833;0,000144;
27.01.2025;3 716;0,000138;
03.02.2025;3 664;0,000136;
10.02.2025;3 282;0,000123;
17.02.2025;3 171;0,000121;
24.02.2025;2 895;0,000112;
03.03.2025;2 273;0,000090;
10.03.2025;2 400;0,000092;
17.03.2025;2 440;0,000095;
24.03.2025;2 084;0,000086;
31.03.2025;1 895;0,000075;
07.04.2025;1 839;0,000073;
14.04.2025;1 575;0,000065;
21.04.2025;1 517;0,000061;
28.04.2025;1 319;0,000058;
05.05.2025;1 197;0,000054;
12.05.2025;1 321;0,000055;
19.05.2025;1 210;0,000054;
26.05.2025;1 416;0,000065;
02.06.2025;1 369;0,000064;
09.06.2025;1 388;0,000063;
16.06.2025;1 744;0,000075;
23.06.2025;1 844;0,000080;
30.06.2025;2 108;0,000094;
07.07.2025;1 909;0,000087;
14.07.2025;2 274;0,000104;
21.07.2025;1 892;0,000086;
28.07.2025;1 980;0,000090;
04.08.2025;2 095;0,000095;
11.08.2025;2 155;0,000099;
18.08.2025;2 232;0,000103;
25.08.2025;2 637;0,000121;
01.09.2025;2 605;0,000115;
08.09.2025;2 362;0,000099;
15.09.2025;2 799;0,000116;
22.09.2025;2 795;0,000113;
29.09.2025;2 580;0,000105;
06.10.2025;2 865;0,000115;
13.10.2025;3 168;0,000122;
20.10.2025;2 886;0,000112;
27.10.2025;2 873;0,000116;
03.11.2025;2 955;0,000119;
10.11.2025;2 610;0,000101;
17.11.2025;2 721;0,000104;
24.11.2025;2 470;0,000093;
01.12.2025;2 298;0,000087;
08.12.2025;2 143;0,000083;
15.12.2025;1 889;0,000076;
22.12.2025;1 794;0,000079;
29.12.2025;1 858;0,000098;
05.01.2026;2 591;0,000129;
12.01.2026;3 430;0,000149;
19.01.2026;3 195;0,000134;
26.01.2026;2 969;0,000126;
02.02.2026;2 674;0,000114;
09.02.2026;2 469;0,000108;
16.02.2026;2 184;0,000100;
23.02.2026;2 094;0,000097;
02.03.2026;1 699;0,000081;
09.03.2026;1 791;0,000076;
16.03.2026;1 680;0,000067;
23.03.2026;1 510;0,000061;
30.03.2026;1 338;0,000055;
06.04.2026;1 299;0,000052;
13.04.2026;1 274;0,000050;
20.04.2026;1 222;0,000048;
27.04.2026;1 122;0,000047;
04.05.2026;942;0,000043;
11.05.2026;1 071;0,000047;
18.05.2026;1 882;0,000082;
25.05.2026;1 288;0,000056;
01.06.2026;1 300;0,000057;
08.06.2026;1 301;0,000057;
15.06.2026;1 209;0,000052;
22.06.2026;1 389;0,000060;
29.06.2026;1 366;0,000061;
06.07.2026;1 686;0,000073;
13.07.2026;1 820;0,000075;
20.07.2026;2 043;0,000081;
27.07.2026;1 842;0,000075;
