candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K6,1,1,1,1,4,12,17,-16.420278432857387,-17.12779288372444,884,883,1,False,14,9.32368282249556,10,0.5016850482519739,True
fourier_K3,1,1,1,2,5,6,12,-16.21109173414646,-16.569712423801633,884,883,1,False,14,9.23111661076734,9,0.41621957192724135,True
fourier_K4,1,1,1,1,4,8,13,-15.94097110455225,-16.359843371525784,884,883,1,False,14,9.110231230378293,10,0.5216752147856101,True
fourier_K3,1,1,1,1,4,6,11,-15.940892789684131,-16.243992674873567,884,883,1,False,14,9.677364591962785,10,0.46924041151774687,True
fourier_K3,1,1,2,1,5,6,12,-14.084400266826375,-14.443020956481547,884,883,1,False,14,9.860557343045443,9,0.3618914915168995,True
fourier_K4,1,1,2,1,5,8,14,-13.463587263327526,-13.947458231069461,884,883,1,False,14,9.462058613491255,9,0.3957598228213867,True
fourier_K6,2,2,1,1,6,12,19,-13.01933595771137,-13.899984856900247,884,883,1,False,14,9.741817350646777,8,0.283616620425792,True
fourier_K6,1,1,1,2,5,12,18,-11.930776467771707,-12.722443134438372,884,883,1,False,14,13.44092684751614,9,0.1436484714121428,True
fourier_K1,0,2,0,0,2,2,5,-11.793988137353098,-11.862403188664388,884,883,1,True,14,13.414549700266305,12,0.33964288184070607,True
fourier_K1,1,1,0,0,2,2,5,-11.29406485283616,-11.362479904147449,884,883,1,True,14,13.86675670703936,12,0.30929781304878734,True
fourier_K3,1,2,1,2,6,6,13,-11.159634495481544,-11.578506762455078,884,883,1,False,14,10.19742574596259,8,0.2514418023049609,True
fourier_K1,0,2,1,0,3,2,6,-11.09312183941876,-11.189012250377665,884,883,1,True,14,11.920683813053667,11,0.3696346324278654,True
fourier_K3,1,1,0,0,2,6,9,-11.02178666584203,-11.227972232852338,884,883,1,True,14,13.051243891446907,12,0.3653270880113236,True
fourier_K1,0,2,0,1,3,2,6,-10.997375239840327,-11.093265650799232,884,883,1,True,14,12.042949035693464,11,0.3604235534186827,True
fourier_K1,2,1,0,0,3,2,6,-10.956255117471212,-11.052145528430117,884,883,1,True,14,12.84134552379795,11,0.30382139982461964,True
fourier_K5,2,2,1,1,6,10,17,-10.95603193818016,-11.663546389047212,884,883,1,False,14,10.439813112817054,8,0.23550282738015368,True
fourier_K1,1,1,1,0,3,2,6,-10.66623610517009,-10.762126516128994,884,883,1,True,14,12.191123881573983,11,0.3494499321546279,True
fourier_K1,1,1,0,1,3,2,6,-10.565499423011126,-10.66138983397003,884,883,1,True,14,12.323810103245846,11,0.33980213141933274,True
fourier_K6,1,1,0,0,2,12,15,-10.487564170532721,-11.041197388525802,884,883,1,True,14,12.756904901294154,12,0.3869547456060352,True
