candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K1,1,1,1,0,3,2,6,6006.900316124787,6006.804425713828,884,883,1,True,14,5.377969715649675,11,0.9114900585094617,True
fourier_K1,1,1,0,1,3,2,6,6006.920667766625,6006.824777355666,884,883,1,True,14,5.403821775866939,11,0.9100451878894692,True
fourier_K1,0,2,1,0,3,2,6,6007.0097605854335,6006.913870174474,884,883,1,True,14,5.296893473682136,11,0.915939996773467,True
fourier_K1,0,2,0,1,3,2,6,6007.020606603966,6006.924716193007,884,883,1,True,14,5.313599015321845,11,0.9150332333392233,True
fourier_K1,0,2,0,0,2,2,5,6008.7375162524595,6008.669101201148,884,883,1,True,14,8.421901973699152,12,0.7513525623794562,True
fourier_K1,0,3,1,0,4,2,7,6008.880003580592,6008.752003580592,884,883,1,True,14,5.208939568101164,10,0.8767906037068044,True
fourier_K1,1,2,1,0,4,2,7,6008.883144818675,6008.755144818675,884,883,1,True,14,5.243646723613588,10,0.8743191295641992,True
fourier_K1,2,1,1,0,4,2,7,6008.884180457222,6008.756180457222,884,883,1,True,14,5.234212462866725,10,0.8749931881941995,True
fourier_K1,1,2,0,1,4,2,7,6008.899499201895,6008.7714992018955,884,883,1,True,14,5.2634207991078785,10,0.8729008881126241,True
fourier_K1,1,1,1,1,4,2,7,6008.9324388766045,6008.804438876605,884,883,1,True,14,5.378010884041479,10,0.8645396843043934,True
fourier_K1,1,1,0,0,2,2,5,6008.974082654946,6008.905667603634,884,883,1,True,14,8.691148175682263,12,0.7290595148507374,True
fourier_K1,1,1,2,0,4,2,7,6008.991730324903,6008.863730324903,884,883,1,True,14,5.372799644672611,10,0.8649251362040842,True
fourier_K1,0,2,1,1,4,2,7,6009.041277206718,6008.913277206719,884,883,1,True,14,5.297510669175877,10,0.8704387474902395,True
fourier_K1,0,2,2,0,4,2,7,6009.0412944549835,6008.913294454984,884,883,1,True,14,5.297535939521607,10,0.8704369143364632,True
fourier_K1,2,2,0,1,5,2,8,6010.156770771622,6009.992011046222,884,883,1,False,14,4.83650799694465,9,0.8483209663479014,True
fourier_K1,2,2,1,0,5,2,8,6010.1734720453815,6010.008712319981,884,883,1,False,14,4.829089084672455,9,0.8489451716517954,True
fourier_K2,1,1,1,0,3,4,8,6010.245999119129,6010.0812393937285,884,883,1,True,14,5.410277554378552,11,0.9096824252575675,True
