candidate,p,q,P,Q,k_arma,n_exog,k_params_total,aicc,aic,nobs,nobs_effective,llf_burn,converged,lb_lag,lb_stat,lb_df,lb_pvalue,lb_pass
fourier_K1,0,2,0,0,2,2,5,-11.793988137353098,-11.862403188664388,884,883,1,True,14,13.414549700266305,12,0.33964288184070607,True
fourier_K3,0,2,0,0,2,6,9,-11.474100527453835,-11.680286094464144,884,883,1,True,14,12.662968902073924,12,0.39400584689800067,True
fourier_K1,1,1,0,0,2,2,5,-11.29406485283616,-11.362479904147449,884,883,1,True,14,13.86675670703936,12,0.30929781304878734,True
fourier_K1,0,2,1,0,3,2,6,-11.09312183941876,-11.189012250377665,884,883,1,True,14,11.920683813053667,11,0.3696346324278654,True
fourier_K3,1,1,0,0,2,6,9,-11.02178666584203,-11.227972232852338,884,883,1,True,14,13.051243891446907,12,0.3653270880113236,True
fourier_K1,0,2,0,1,3,2,6,-10.997375239840327,-11.093265650799232,884,883,1,True,14,12.042949035693464,11,0.3604235534186827,True
fourier_K1,2,1,0,0,3,2,6,-10.956255117471212,-11.052145528430117,884,883,1,True,14,12.84134552379795,11,0.30382139982461964,True
fourier_K6,0,2,0,0,2,12,15,-10.841053741418776,-11.394686959411857,884,883,1,True,14,12.445339407306207,12,0.4106084260737423,True
fourier_K1,1,1,1,0,3,2,6,-10.66623610517009,-10.762126516128994,884,883,1,True,14,12.191123881573983,11,0.3494499321546279,True
fourier_K3,0,2,1,0,3,6,10,-10.630486592708518,-10.882780170690168,884,883,1,True,14,11.439308627318274,11,0.40722633466699776,True
fourier_K1,1,1,0,1,3,2,6,-10.565499423011126,-10.66138983397003,884,883,1,True,14,12.323810103245846,11,0.33980213141933274,True
fourier_K3,0,2,0,1,3,6,10,-10.554528656158674,-10.806822234140324,884,883,1,True,14,11.527943316866615,11,0.40015018882413406,True
fourier_K4,0,2,0,0,2,8,11,-10.519276488302584,-10.82237637349202,884,883,1,True,14,12.47259342481358,12,0.4085092498343908,True
fourier_K6,1,1,0,0,2,12,15,-10.487564170532721,-11.041197388525802,884,883,1,True,14,12.756904901294154,12,0.3869547456060352,True
